Group;cluster;area;gravelius_index;centroid_lat;centroid_lon;mean_elev;main_land_use;annual_avg_tp;annual_avg_t2m
02G/01H;A;170.0800479;1.67766653;41.94035357;-8.392403893;957.4144;333;1228.599407;12.38664695
03I/03H;A;11.09984773;1.431059195;41.76631819;-8.095293911;1064.7269;333;1417.040502;11.47292843
03J/01H;A;103.128;1.652668802;41.83569074;-7.81479371;1064.6217;512;940.8990228;10.42438792
03K/01H;B;77.37411303;1.595926914;41.76773237;-7.68813456;1160.4275;333;700.081614;11.46854187
03L/01H;B;101.6992829;1.538121321;41.75505584;-7.598451423;662.5215;334;742.0402931;12.2871704
04J/02H;A;13.981;1.461473479;41.62933729;-7.99694428;976.6268;333;1311.568149;11.85888979
04O/02H;B;284.3503151;1.471805097;41.66935019;-6.993705067;767.334;324;829.4135498;12.36194742
05E/01H;A;234.6513414;2.126334812;41.46822796;-8.533382725;288.6242;324;1419.634994;14.36645684
05G/01H;A;65.16357081;1.711645882;41.45912607;-8.28052658;950.1993;324;1585.735844;13.46419606
05J/01H;A;54.46553534;1.503095486;41.37549585;-7.815459715;160.5149;512;1218.176187;11.69959595
05K/01H;B;49.7402183;1.475795705;41.49864095;-7.706026812;210.9744;333;697.7875069;11.82142394
07L/02H;B;218.8153036;1.921879842;41.05187445;-7.408214561;682.5513;512;672.0324546;12.8288865
08L/01H;B;171.2697424;1.686957595;40.82952114;-7.444372192;617.6549;333;611.7199222;12.43543048
08O/01H;B;404.857087;1.867128766;40.76064583;-7.215144137;771.6593;512;386.2241833;13.03806443
09F/01H;A;112.8065705;1.674399034;40.87636385;-8.459756127;745.1337;324;1275.990024;14.28285428
09M/01H;B;86.3104194;1.393934035;40.71217929;-7.327084291;653.7355;324;630.5258609;13.10798475
09O/02H;B;269.0605566;1.949787352;40.61945004;-7.078268695;755.679;334;602.0280815;12.55053721
10K/06H;B;66.80206813;1.611489389;40.47741099;-7.622838056;629.9544;333;936.7182297;12.20854517
10L/02H;B;51.84899068;1.835387308;40.56269217;-7.47825501;36.9916;334;763.6041607;12.89880945
10M/03H;B;121.2348652;1.543005633;40.46550676;-7.469366878;437.2174;333;788.9097393;11.85120472
11L/01H;B;27.89929942;1.396851689;40.34609685;-7.578313391;247.0042;333;687.572529;11.25210307
