Event date,Group,Q,Q/A
1980-01-01,03I/03H,3.45,310.81507458880486
1980-01-02,03I/03H,1.69,152.25434088553047
1980-01-03,03I/03H,1.19,107.20867790164571
1980-01-04,03I/03H,1.24,111.7132442000342
1980-01-05,03I/03H,2.63,236.9401872952338
1980-01-06,03I/03H,1.29,116.21781049842268
1980-01-07,03I/03H,1.01,90.99223922744721
1980-01-08,03I/03H,1.02,91.89315248712491
1980-01-09,03I/03H,1.14,102.70411160325723
1980-01-10,03I/03H,1.17,105.40685138229033
1980-01-11,03I/03H,1.02,91.89315248712491
1980-01-12,03I/03H,0.87,78.37945359195949
1980-01-13,03I/03H,0.73,65.76666795647175
1980-01-14,03I/03H,0.58,52.25296906130632
1980-01-15,03I/03H,0.44,39.640183425818584
1980-01-16,03I/03H,0.35,31.531964088719327
1980-01-17,03I/03H,0.32,28.829224309686246
1980-01-18,03I/03H,0.29,26.12648453065316
1980-01-19,03I/03H,0.45,40.541096685496285
1980-01-20,03I/03H,1.44,129.7315093935881
1980-01-21,03I/03H,20.0,1801.8265193553902
1980-01-22,03I/03H,16.6,1495.516011064974
1980-01-23,03I/03H,17.5,1576.5982044359666
1980-01-24,03I/03H,23.6,2126.1552928393608
1980-01-25,03I/03H,4.13,372.0771762468881
1980-01-26,03I/03H,2.1,189.191784532316
1980-01-27,03I/03H,1.44,129.7315093935881
1980-01-28,03I/03H,1.06,95.49680552583568
1980-01-29,03I/03H,0.92,82.88401989034796
1980-01-30,03I/03H,8.61,775.6863165824955
1980-01-31,03I/03H,9.01,811.7228469696033
1980-02-01,03I/03H,3.19,287.39132983718474
1980-02-02,03I/03H,2.27,204.5073099468368
1980-02-03,03I/03H,1.72,154.95708066456356
1980-02-04,03I/03H,1.31,118.01963701777807
1980-02-05,03I/03H,1.08,97.29863204519108
1980-02-06,03I/03H,1.49,134.23607569197657
1980-02-07,03I/03H,1.21,109.0105044210011
1980-02-08,03I/03H,1.1,99.10045856454647
1980-02-09,03I/03H,11.9,1072.0867790164573
1980-02-10,03I/03H,2.84,255.8593657484654
1980-02-11,03I/03H,1.97,177.47991215650595
1980-02-12,03I/03H,1.62,145.94794806778663
1980-02-13,03I/03H,1.27,114.41598397906728
1980-02-14,03I/03H,1.47,132.43424917262118
1980-02-15,03I/03H,13.1,1180.1963701777806
1980-02-16,03I/03H,3.81,343.2479519372019
1980-02-17,03I/03H,2.19,197.30000386941524
