Event date,Group,Q,Q/A
1980-01-01,03L/01H,1.41,13.864404545617298
1980-01-02,03L/01H,1.35,13.274429884101671
1980-01-03,03L/01H,1.3,12.782784332838645
1980-01-04,03L/01H,1.24,12.192809671323015
1980-01-05,03L/01H,1.32,12.979442553343857
1980-01-06,03L/01H,1.24,12.192809671323015
1980-01-07,03L/01H,1.2,11.799493230312596
1980-01-08,03L/01H,1.19,11.701164120059989
1980-01-09,03L/01H,1.19,11.701164120059989
1980-01-10,03L/01H,1.19,11.701164120059989
1980-01-11,03L/01H,1.16,11.406176789302174
1980-01-12,03L/01H,1.13,11.11118945854436
1980-01-13,03L/01H,1.11,10.914531238039153
1980-01-14,03L/01H,1.08,10.619543907281336
1980-01-15,03L/01H,1.06,10.422885686776127
1980-01-16,03L/01H,1.03,10.127898356018312
1980-01-17,03L/01H,1.0,9.832911025260497
1980-01-18,03L/01H,0.93,9.144607253492262
1980-01-19,03L/01H,1.07,10.521214797028732
1980-01-20,03L/01H,1.25,12.29113878157562
1980-01-21,03L/01H,1.41,13.864404545617298
1980-01-22,03L/01H,1.98,19.469163830015784
1980-01-23,03L/01H,2.66,26.155543327192923
1980-01-24,03L/01H,10.4,102.26227466270916
1980-01-25,03L/01H,3.52,34.61184680891695
1980-01-26,03L/01H,2.44,23.99230290163561
1980-01-27,03L/01H,2.21,21.730733365825696
1980-01-28,03L/01H,2.03,19.960809381278807
1980-01-29,03L/01H,1.85,18.190885396731918
1980-01-30,03L/01H,1.72,16.912606963448056
1980-01-31,03L/01H,2.76,27.138834429718965
1980-02-01,03L/01H,2.85,28.02379642199241
1980-02-02,03L/01H,2.31,22.714024468351745
1980-02-03,03L/01H,1.92,18.87918916850015
1980-02-04,03L/01H,1.74,17.109265183953266
1980-02-05,03L/01H,1.64,16.125974081427213
1980-02-06,03L/01H,1.59,15.63432853016419
1980-02-07,03L/01H,1.51,14.847695648143349
1980-02-08,03L/01H,1.37,13.471088104606881
1980-02-09,03L/01H,2.8,27.532150870729385
1980-02-10,03L/01H,2.31,22.714024468351745
1980-02-11,03L/01H,1.79,17.60091073521629
1980-02-12,03L/01H,1.59,15.63432853016419
1980-02-13,03L/01H,1.45,14.257720986627719
1980-02-14,03L/01H,1.44,14.159391876375114
1980-02-15,03L/01H,3.25,31.956960832096613
1980-02-16,03L/01H,2.95,29.007087524518465
1980-02-17,03L/01H,1.97,19.370834719763177
1980-02-18,03L/01H,2.15,21.140758704310063
1980-02-19,03L/01H,5.2,51.13113733135458
1980-02-20,03L/01H,3.65,35.89012524220081
1980-02-21,03L/01H,2.68,26.352201547698133
1980-02-22,03L/01H,4.86,47.787947582766016
1980-02-23,03L/01H,3.12,30.67868239881275
1980-02-24,03L/01H,2.25,22.124049806836116
1980-02-25,03L/01H,2.09,20.550784042794437
1980-02-26,03L/01H,2.06,20.255796712036624
1980-02-27,03L/01H,1.97,19.370834719763177
1980-02-28,03L/01H,1.86,18.289214506984525
1980-02-29,03L/01H,1.76,17.305923404458476
1980-03-01,03L/01H,1.72,16.912606963448056
1980-03-02,03L/01H,1.68,16.519290522437633
1980-03-03,03L/01H,1.64,16.125974081427213
1980-03-04,03L/01H,1.61,15.8309867506694
1980-03-05,03L/01H,1.57,15.43767030965898
1980-03-06,03L/01H,1.51,14.847695648143349
1980-03-07,03L/01H,1.46,14.356050096880324
1980-03-08,03L/01H,1.41,13.864404545617298
1980-03-09,03L/01H,1.36,13.372758994354276
1980-03-10,03L/01H,1.32,12.979442553343857
1980-03-11,03L/01H,1.31,12.88111344309125
1980-03-12,03L/01H,1.29,12.68445522258604
1980-03-13,03L/01H,1.27,12.48779700208083
1980-03-14,03L/01H,1.26,12.389467891828225
1980-03-15,03L/01H,1.24,12.192809671323015
1980-03-16,03L/01H,1.21,11.8978223405652
1980-03-17,03L/01H,1.17,11.504505899554779
1980-03-18,03L/01H,1.13,11.11118945854436
1980-03-19,03L/01H,1.09,10.717873017533943
1980-03-20,03L/01H,1.15,11.30784767904957
1980-03-21,03L/01H,1.33,13.077771663596462
1980-03-22,03L/01H,1.35,13.274429884101671
1980-03-23,03L/01H,1.29,12.68445522258604
1980-03-24,03L/01H,1.59,15.63432853016419
1980-03-25,03L/01H,2.46,24.18896112214082
1980-03-26,03L/01H,5.37,52.802732205648866
1980-03-27,03L/01H,3.46,34.02187214740132
1980-03-28,03L/01H,3.28,32.251948162854426
1980-03-29,03L/01H,5.6,55.06430174145877
1980-03-30,03L/01H,2.87,28.220454642497625
1980-03-31,03L/01H,2.19,21.534075145320486
1980-04-01,03L/01H,2.01,19.764151160773597
1980-04-02,03L/01H,1.86,18.289214506984525
1980-04-03,03L/01H,1.64,16.125974081427213
1980-04-04,03L/01H,1.61,15.8309867506694
1980-04-05,03L/01H,1.57,15.43767030965898
1980-04-06,03L/01H,1.52,14.946024758395954
1980-04-07,03L/01H,1.47,14.454379207132929
1980-04-08,03L/01H,1.42,13.962733655869902
1980-04-09,03L/01H,1.37,13.471088104606881
1980-04-10,03L/01H,1.31,12.88111344309125
1980-04-11,03L/01H,1.3,12.782784332838645
1980-04-12,03L/01H,1.37,13.471088104606881
1980-04-13,03L/01H,1.96,19.272505609510574
1980-04-14,03L/01H,3.98,39.134985880536775
1980-04-15,03L/01H,2.46,24.18896112214082
1980-04-16,03L/01H,2.04,20.059138491531414
1980-04-17,03L/01H,1.86,18.289214506984525
1980-04-18,03L/01H,1.73,17.01093607370066
1980-04-19,03L/01H,1.59,15.63432853016419
1980-04-20,03L/01H,1.43,14.06106276612251
1980-04-21,03L/01H,1.27,12.48779700208083
1980-04-22,03L/01H,1.2,11.799493230312596
1980-04-23,03L/01H,1.18,11.602835009807384
1980-04-24,03L/01H,1.15,11.30784767904957
1980-04-25,03L/01H,1.12,11.012860348291756
1980-04-26,03L/01H,1.08,10.619543907281336
1980-04-27,03L/01H,1.03,10.127898356018312
1980-04-28,03L/01H,1.08,10.619543907281336
1980-04-29,03L/01H,1.41,13.864404545617298
1980-04-30,03L/01H,1.37,13.471088104606881
1980-05-01,03L/01H,1.37,13.471088104606881
1980-05-02,03L/01H,1.31,12.88111344309125
1980-05-03,03L/01H,1.51,14.847695648143349
1980-05-04,03L/01H,1.47,14.454379207132929
1980-05-05,03L/01H,1.49,14.651037427638139
1980-05-06,03L/01H,1.7,16.715948742942842
1980-05-07,03L/01H,1.59,15.63432853016419
1980-05-08,03L/01H,1.53,15.044353868648559
1980-05-09,03L/01H,1.28,12.586126112333435
1980-05-10,03L/01H,1.24,12.192809671323015
1980-05-11,03L/01H,1.4,13.766075435364693
1980-05-12,03L/01H,2.0,19.665822050520994
1980-05-13,03L/01H,1.63,16.027644971174606
1980-05-14,03L/01H,1.34,13.176100773849067
1980-05-15,03L/01H,1.27,12.48779700208083
1980-05-16,03L/01H,1.15,11.30784767904957
1980-05-17,03L/01H,1.04,10.226227466270917
1980-05-18,03L/01H,1.0,9.832911025260497
1980-05-19,03L/01H,0.97,9.53792369450268
1980-05-20,03L/01H,0.94,9.242936363744866
1980-05-21,03L/01H,0.88,8.652961702229238
1980-05-22,03L/01H,0.83,8.161316150966211
1980-05-23,03L/01H,0.77,7.571341489450582
1980-05-24,03L/01H,0.75,7.374683268945372
1980-05-25,03L/01H,0.74,7.276354158692767
1980-05-26,03L/01H,0.73,7.178025048440162
1980-05-27,03L/01H,0.73,7.178025048440162
1980-05-28,03L/01H,0.72,7.079695938187557
1980-05-29,03L/01H,0.72,7.079695938187557
1980-05-30,03L/01H,0.71,6.981366827934951
1980-05-31,03L/01H,0.71,6.981366827934951
1980-06-01,03L/01H,0.66,6.489721276671928
1980-06-02,03L/01H,0.58,5.703088394651087
1980-06-03,03L/01H,0.51,5.014784622882853
1980-06-04,03L/01H,0.46,4.523139071619829
1980-06-05,03L/01H,0.42,4.129822630609408
1980-06-06,03L/01H,0.39,3.8348352998515938
1980-06-07,03L/01H,0.36,3.5398479690937785
1980-06-08,03L/01H,0.35,3.441518858841173
1980-06-09,03L/01H,0.34,3.343189748588569
1980-06-10,03L/01H,0.33,3.244860638335964
1980-06-11,03L/01H,0.36,3.5398479690937785
1980-06-12,03L/01H,0.38,3.7365061895989884
1980-06-13,03L/01H,0.4,3.9331644101041983
1980-06-14,03L/01H,0.44,4.326480851114619
1980-06-15,03L/01H,0.68,6.686379497177138
1980-06-16,03L/01H,0.62,6.096404835661508
1980-06-17,03L/01H,0.55,5.408101063893274
1980-06-18,03L/01H,0.52,5.113113733135458
1980-06-19,03L/01H,0.49,4.818126402377644
1980-06-20,03L/01H,0.46,4.523139071619829
1980-06-21,03L/01H,0.43,4.228151740862014
1980-06-22,03L/01H,0.41,4.031493520356803
1980-06-23,03L/01H,0.38,3.7365061895989884
1980-06-24,03L/01H,0.36,3.5398479690937785
1980-06-25,03L/01H,0.35,3.441518858841173
1980-06-26,03L/01H,0.33,3.244860638335964
1980-06-27,03L/01H,0.32,3.146531528083359
1980-06-28,03L/01H,0.31,3.048202417830754
1980-06-29,03L/01H,0.3,2.949873307578149
1980-06-30,03L/01H,0.29,2.8515441973255435
1980-07-01,03L/01H,0.27,2.654885976820334
1980-07-02,03L/01H,0.26,2.556556866567729
1980-07-03,03L/01H,0.25,2.4582277563151242
1980-07-04,03L/01H,0.24,2.359898646062519
1980-07-05,03L/01H,0.22,2.1632404255573094
1980-07-06,03L/01H,0.25,2.4582277563151242
1980-07-07,03L/01H,0.23,2.2615695358099144
1980-07-08,03L/01H,0.21,2.064911315304704
1980-07-09,03L/01H,0.2,1.9665822050520991
