Event date,Group,Q,Q/A
1980-01-01,05K/01H,3.1,62.32381171377858
1980-01-02,05K/01H,2.35,47.24547017012247
1980-01-03,05K/01H,2.03,40.81204444482919
1980-01-04,05K/01H,1.92,38.60055435175964
1980-01-05,05K/01H,2.65,53.27680678758492
1980-01-06,05K/01H,2.07,41.616222660490855
1980-01-07,05K/01H,1.84,36.992197920436325
1980-01-08,05K/01H,1.89,37.99742069001339
1980-01-09,05K/01H,1.84,36.992197920436325
1980-01-10,05K/01H,1.71,34.37861871953592
1980-01-11,05K/01H,1.59,31.96608407255095
1980-01-12,05K/01H,1.46,29.35250487165056
1980-01-13,05K/01H,1.34,26.939970224665583
1980-01-14,05K/01H,1.23,24.728480131596015
1980-01-15,05K/01H,1.18,23.723257362018945
1980-01-16,05K/01H,1.15,23.120123700272696
1980-01-17,05K/01H,1.14,22.919079146357284
1980-01-18,05K/01H,1.14,22.919079146357284
1980-01-19,05K/01H,1.54,30.96086130297388
1980-01-20,05K/01H,2.41,48.451737493614964
1980-01-21,05K/01H,4.39,88.25855916886708
1980-01-22,05K/01H,6.35,127.66329173628837
1980-01-23,05K/01H,6.83,137.3134303242283
1980-01-24,05K/01H,6.65,133.69462835375086
1980-01-25,05K/01H,3.79,76.19588593394221
1980-01-26,05K/01H,3.04,61.11754439028609
1980-01-27,05K/01H,2.81,56.493519650231555
1980-01-28,05K/01H,2.5,50.261138478853695
1980-01-29,05K/01H,2.26,45.436069184883735
1980-01-30,05K/01H,2.28,45.83815829271457
1980-01-31,05K/01H,4.23,85.04184630622045
1980-02-01,05K/01H,2.81,56.493519650231555
1980-02-02,05K/01H,2.32,46.642336508376225
1980-02-03,05K/01H,2.09,42.01831176832169
1980-02-04,05K/01H,1.84,36.992197920436325
1980-02-05,05K/01H,1.68,33.77548505778968
1980-02-06,05K/01H,1.67,33.574440503874264
1980-02-07,05K/01H,1.72,34.57966327345134
1980-02-08,05K/01H,1.64,32.971306842128016
1980-02-09,05K/01H,4.44,89.26378193844417
1980-02-10,05K/01H,3.07,61.72067805203233
1980-02-11,05K/01H,1.81,36.38906425869008
1980-02-12,05K/01H,1.54,30.96086130297388
1980-02-13,05K/01H,1.4,28.14623754815807
1980-02-14,05K/01H,1.37,27.543103886411828
1980-02-15,05K/01H,4.68,94.08885123241411
1980-02-16,05K/01H,4.89,98.31078686463782
1980-02-17,05K/01H,2.43,48.85382660144579
1980-02-18,05K/01H,2.38,47.848603831868715
1980-02-19,05K/01H,4.53,91.0731829236829
1980-02-20,05K/01H,3.38,67.9530592234102
1980-02-21,05K/01H,2.67,53.67889589541575
1980-02-22,05K/01H,2.85,57.29769786589321
1980-02-23,05K/01H,2.35,47.24547017012247
1980-02-24,05K/01H,2.12,42.621445430067936
1980-02-25,05K/01H,2.05,41.21413355266003
1980-02-26,05K/01H,1.97,39.605777121336715
1980-02-27,05K/01H,1.88,37.79637613609798
1980-02-28,05K/01H,1.77,35.58488604302842
1980-02-29,05K/01H,1.63,32.77026228821261
1980-03-01,05K/01H,1.42,28.548326655988898
