Event date,Group,Q,Q/A
1980-01-01,11M/01H,3.28,64.76205019296371
1980-01-02,11M/01H,2.66,52.52044314429375
1980-01-03,11M/01H,2.22,43.83285104523764
1980-01-04,11M/01H,2.06,40.67372664558087
1980-01-05,11M/01H,1.99,39.29160972073104
1980-01-06,11M/01H,1.86,36.724821146009916
1980-01-07,11M/01H,1.73,34.15803257128879
1980-01-08,11M/01H,1.61,31.788689271546218
1980-01-09,11M/01H,1.5,29.61679124678219
1980-01-10,11M/01H,1.42,28.0372290469538
1980-01-11,11M/01H,1.35,26.655112122103972
1980-01-12,11M/01H,1.29,25.47044047223268
1980-01-13,11M/01H,1.22,24.088323547382846
1980-01-14,11M/01H,1.15,22.706206622533006
1980-01-15,11M/01H,1.12,22.113870797597368
1980-01-16,11M/01H,1.19,23.495987722447204
1980-01-17,11M/01H,1.08,21.324089697683178
1980-01-18,11M/01H,1.02,20.13941804781189
1980-01-19,11M/01H,1.22,24.088323547382846
1980-01-20,11M/01H,1.77,34.94781367120299
1980-01-21,11M/01H,2.21,43.63540577025909
1980-01-22,11M/01H,6.64,131.1036625857558
1980-01-23,11M/01H,7.37,145.51716765918982
1980-01-24,11M/01H,4.88,96.35329418953138
1980-01-25,11M/01H,4.12,81.34745329116174
1980-01-26,11M/01H,3.43,67.72372931764194
1980-01-27,11M/01H,2.99,59.036137218585836
1980-01-28,11M/01H,2.63,51.928107319358105
1980-01-29,11M/01H,2.39,47.189420719872956
1980-01-30,11M/01H,2.14,42.25328884540926
1980-01-31,11M/01H,2.86,56.4693486438647
1980-02-01,11M/01H,2.28,45.017522695108916
1980-02-02,11M/01H,1.98,39.09416444575248
1980-02-03,11M/01H,1.82,35.93504004609572
1980-02-04,11M/01H,1.71,33.763142021331696
1980-02-05,11M/01H,1.58,31.196353446610573
1980-02-06,11M/01H,1.51,29.814236521760737
1980-02-07,11M/01H,1.45,28.629564871889446
1980-02-08,11M/01H,1.33,26.260221572146875
1980-02-09,11M/01H,1.54,30.40657234669638
1980-02-10,11M/01H,1.52,30.011681796739285
1980-02-11,11M/01H,1.3,25.667885747211233
1980-02-12,11M/01H,1.18,23.298542447468655
1980-02-13,11M/01H,1.09,21.521534972661723
1980-02-14,11M/01H,1.02,20.13941804781189
1980-02-15,11M/01H,1.75,34.55292312124589
1980-02-16,11M/01H,2.91,57.45657501875745
1980-02-17,11M/01H,1.77,34.94781367120299
1980-02-18,11M/01H,1.71,33.763142021331696
1980-02-19,11M/01H,2.23,44.03029632021618
1980-02-20,11M/01H,2.48,48.966428194679885
1980-02-21,11M/01H,2.34,46.202194344980214
1980-02-22,11M/01H,3.97,78.38577416648353
1980-02-23,11M/01H,4.11,81.15000801618321
1980-02-24,11M/01H,3.26,64.36715964300662
1980-02-25,11M/01H,2.99,59.036137218585836
1980-02-26,11M/01H,2.65,52.3229978693152
1980-02-27,11M/01H,2.37,46.79453016991586
1980-02-28,11M/01H,2.13,42.0558435704307
1980-02-29,11M/01H,2.13,42.0558435704307
1980-03-01,11M/01H,2.15,42.4507341203878
1980-03-02,11M/01H,1.96,38.699273895795386
1980-03-03,11M/01H,1.82,35.93504004609572
1980-03-04,11M/01H,1.71,33.763142021331696
1980-03-05,11M/01H,1.62,31.986134546524763
1980-03-06,11M/01H,1.55,30.604017621674927
1980-03-07,11M/01H,1.49,29.41934597180364
1980-03-08,11M/01H,1.42,28.0372290469538
1980-03-09,11M/01H,1.37,27.050002672061066
1980-03-10,11M/01H,1.31,25.86533102218978
1980-03-11,11M/01H,1.21,23.890878272404297
1980-03-12,11M/01H,1.11,21.91642552261882
1980-03-13,11M/01H,1.08,21.324089697683178
1980-03-14,11M/01H,1.03,20.336863322790435
1980-03-15,11M/01H,0.98,19.349636947897693
1980-03-16,11M/01H,0.98,19.349636947897693
1980-03-17,11M/01H,0.98,19.349636947897693
1980-03-18,11M/01H,0.99,19.54708222287624
1980-03-19,11M/01H,0.99,19.54708222287624
1980-03-20,11M/01H,1.0,19.744527497854794
1980-03-21,11M/01H,1.01,19.941972772833342
1980-03-22,11M/01H,1.01,19.941972772833342
1980-03-23,11M/01H,1.06,20.92919914772608
1980-03-24,11M/01H,1.27,25.075549922275584
1980-03-25,11M/01H,1.74,34.355477846267334
1980-03-26,11M/01H,2.89,57.06168446880035
1980-03-27,11M/01H,2.35,46.39963961995876
1980-03-28,11M/01H,2.14,42.25328884540926
1980-03-29,11M/01H,3.05,60.22080886845711
1980-03-30,11M/01H,2.44,48.17664709476569
1980-03-31,11M/01H,1.98,39.09416444575248
1980-04-01,11M/01H,1.84,36.32993059605282
1980-04-02,11M/01H,1.63,32.18357982150331
1980-04-03,11M/01H,1.52,30.011681796739285
1980-04-04,11M/01H,1.43,28.23467432193235
1980-04-05,11M/01H,1.37,27.050002672061066
1980-04-06,11M/01H,1.33,26.260221572146875
1980-04-07,11M/01H,1.24,24.483214097339943
1980-04-08,11M/01H,1.09,21.521534972661723
1980-04-09,11M/01H,1.0,19.744527497854794
1980-04-10,11M/01H,0.94,18.559855847983503
1980-04-11,11M/01H,0.93,18.362410573004958
1980-04-12,11M/01H,0.94,18.559855847983503
1980-04-13,11M/01H,1.25,24.680659372318487
1980-04-14,11M/01H,1.84,36.32993059605282
1980-04-15,11M/01H,1.44,28.432119596910898
1980-04-16,11M/01H,1.26,24.878104647297036
1980-04-17,11M/01H,1.14,22.508761347554458
1980-04-18,11M/01H,1.06,20.92919914772608
1980-04-19,11M/01H,0.98,19.349636947897693
1980-04-20,11M/01H,0.94,18.559855847983503
1980-04-21,11M/01H,0.93,18.362410573004958
1980-04-22,11M/01H,0.95,18.75730112296205
1980-04-23,11M/01H,0.89,17.572629473090764
1980-04-24,11M/01H,0.84,16.585403098198025
1980-04-25,11M/01H,0.79,15.598176723305286
1980-04-26,11M/01H,0.74,14.610950348412546
1980-04-27,11M/01H,0.73,14.413505073434
1980-04-28,11M/01H,0.82,16.19051254824093
1980-04-29,11M/01H,0.92,18.16496529802641
1980-04-30,11M/01H,0.9,17.770074748069312
1980-05-01,11M/01H,0.86,16.98029364815512
1980-05-02,11M/01H,0.85,16.782848373176574
1980-05-03,11M/01H,0.83,16.387957823219477
1980-05-04,11M/01H,0.82,16.19051254824093
1980-05-05,11M/01H,3.19,62.98504271815679
1980-05-06,11M/01H,3.23,63.77482381807098
1980-05-07,11M/01H,2.37,46.79453016991586
1980-05-08,11M/01H,3.03,59.825918318500015
1980-05-09,11M/01H,2.08,41.06861719553797
1980-05-10,11M/01H,1.83,36.13248532107427
1980-05-11,11M/01H,1.96,38.699273895795386
1980-05-12,11M/01H,3.23,63.77482381807098
1980-05-13,11M/01H,2.83,55.87701281892906
1980-05-14,11M/01H,2.26,44.622632145151826
1980-05-15,11M/01H,2.14,42.25328884540926
1980-05-16,11M/01H,2.17,42.8456246703449
1980-05-17,11M/01H,2.04,40.27883609562378
1980-05-18,11M/01H,1.7,33.56569674635315
1980-05-19,11M/01H,1.41,27.839783771975256
1980-05-20,11M/01H,1.5,29.61679124678219
1980-05-21,11M/01H,1.36,26.852557397082517
1980-05-22,11M/01H,1.33,26.260221572146875
1980-05-23,11M/01H,1.26,24.878104647297036
1980-05-24,11M/01H,1.18,23.298542447468655
1980-05-25,11M/01H,1.1,21.71898024764027
1980-05-26,11M/01H,1.06,20.92919914772608
1980-05-27,11M/01H,1.06,20.92919914772608
1980-05-28,11M/01H,0.97,19.152191672919148
1980-05-29,11M/01H,0.94,18.559855847983503
1980-05-30,11M/01H,0.94,18.559855847983503
1980-05-31,11M/01H,0.92,18.16496529802641
1980-06-01,11M/01H,0.77,15.20328617334819
1980-06-02,11M/01H,0.72,14.216059798455449
1980-06-03,11M/01H,0.66,13.031388148584163
1980-06-04,11M/01H,0.64,12.636497598627066
1980-06-05,11M/01H,0.62,12.241607048669971
1980-06-06,11M/01H,0.59,11.649271223734328
1980-06-07,11M/01H,0.57,11.254380673777229
1980-06-08,11M/01H,0.56,11.056935398798684
1980-06-09,11M/01H,0.57,11.254380673777229
1980-06-10,11M/01H,0.56,11.056935398798684
1980-06-11,11M/01H,0.53,10.46459957386304
1980-06-12,11M/01H,0.51,10.069709023905945
1980-06-13,11M/01H,0.52,10.267154298884492
1980-06-14,11M/01H,0.53,10.46459957386304
1980-06-15,11M/01H,0.5,9.872263748927397
1980-06-16,11M/01H,0.44,8.687592099056108
1980-06-17,11M/01H,0.38,7.502920449184821
1980-06-18,11M/01H,0.42,8.292701549099013
1980-06-19,11M/01H,0.39,7.700365724163369
1980-06-20,11M/01H,0.38,7.502920449184821
1980-06-21,11M/01H,0.33,6.515694074292082
1980-06-22,11M/01H,0.34,6.713139349270629
1980-06-23,11M/01H,0.35,6.910584624249177
1980-06-24,11M/01H,0.31,6.120803524334986
1980-06-25,11M/01H,0.32,6.318248799313533
1980-06-26,11M/01H,0.33,6.515694074292082
1980-06-27,11M/01H,0.32,6.318248799313533
1980-06-28,11M/01H,0.27,5.331022424420794
1980-06-29,11M/01H,0.29,5.725912974377889
