Event date,Group,Q,Q/A
1980-02-01,15E/03H,0.41,2.176005638967503
1980-02-02,15E/03H,0.41,2.176005638967503
1980-02-03,15E/03H,0.41,2.176005638967503
1980-02-04,15E/03H,0.4,2.122932330700003
1980-02-05,15E/03H,0.34,1.8044924810950025
1980-02-06,15E/03H,0.33,1.7514191728275024
1980-02-07,15E/03H,0.34,1.8044924810950025
1980-02-08,15E/03H,0.34,1.8044924810950025
1980-02-09,15E/03H,0.65,3.449765037387505
1980-02-10,15E/03H,0.44,2.335225563770003
1980-02-11,15E/03H,0.38,2.0167857141650027
1980-02-12,15E/03H,0.37,1.9637124058975028
1980-02-13,15E/03H,0.31,1.6452725562925021
1980-02-14,15E/03H,0.25,1.3268327066875019
1980-02-15,15E/03H,0.87,4.617377819272506
1980-02-16,15E/03H,3.28,17.408045111740023
1980-02-17,15E/03H,2.01,10.667734961767515
1980-02-18,15E/03H,1.33,7.05874999957751
1980-02-19,15E/03H,1.02,5.413477443285007
1980-02-20,15E/03H,1.2,6.368796992100008
1980-02-21,15E/03H,1.24,6.5810902251700085
1980-02-22,15E/03H,1.04,5.519624059820008
1980-02-23,15E/03H,0.97,5.148110901947507
1980-02-24,15E/03H,0.73,3.8743515035275053
1980-02-25,15E/03H,0.59,3.131325187782504
1980-02-26,15E/03H,0.49,2.6005921051075034
1980-02-27,15E/03H,0.45,2.3882988720375034
1980-02-28,15E/03H,0.42,2.2290789472350028
1980-02-29,15E/03H,0.51,2.7067387216425036
1980-03-01,15E/03H,0.55,2.919031954712504
1980-03-02,15E/03H,0.45,2.3882988720375034
1980-03-03,15E/03H,0.43,2.282152255502503
1980-03-04,15E/03H,0.39,2.069859022432503
1980-03-05,15E/03H,0.32,1.6983458645600022
1980-03-06,15E/03H,0.32,1.6983458645600022
1980-03-07,15E/03H,0.34,1.8044924810950025
1980-03-08,15E/03H,0.37,1.9637124058975028
1980-03-09,15E/03H,0.41,2.176005638967503
1980-03-10,15E/03H,0.38,2.0167857141650027
1980-03-11,15E/03H,0.3,1.592199248025002
1980-03-12,15E/03H,0.25,1.3268327066875019
1980-03-13,15E/03H,0.2,1.0614661653500015
1980-03-14,15E/03H,0.2,1.0614661653500015
1980-03-15,15E/03H,0.17,0.9022462405475012
1980-03-16,15E/03H,0.16,0.8491729322800011
1980-03-17,15E/03H,0.21,1.1145394736175014
1980-03-18,15E/03H,0.18,0.9553195488150013
1980-03-19,15E/03H,0.16,0.8491729322800011
1980-03-20,15E/03H,0.2,1.0614661653500015
1980-03-21,15E/03H,0.36,1.9106390976300025
1980-03-22,15E/03H,0.24,1.2737593984200017
1980-03-23,15E/03H,0.21,1.1145394736175014
1980-03-24,15E/03H,0.19,1.0083928570825014
1980-03-25,15E/03H,0.35,1.8575657893625024
1980-03-26,15E/03H,0.6,3.184398496050004
1980-03-27,15E/03H,0.72,3.821278195260005
