Event date,Group,Q,Q/A
1980-01-01,17F/03H,4.62,28.557714335065466
1980-01-02,17F/03H,4.04,24.972546734559412
1980-01-03,17F/03H,3.48,21.511005603036324
1980-01-04,17F/03H,3.19,19.718421802783297
1980-01-05,17F/03H,2.89,17.86402476803879
1980-01-06,17F/03H,2.92,18.049464471513236
1980-01-07,17F/03H,2.86,17.678585064564334
1980-01-08,17F/03H,2.65,16.38050714024318
1980-01-09,17F/03H,2.4,14.835176277956085
1980-01-10,17F/03H,2.16,13.351658650160479
1980-01-11,17F/03H,2.03,12.548086601771189
1980-01-12,17F/03H,1.85,11.435448380924484
1980-01-13,17F/03H,1.76,10.87912927050113
1980-01-14,17F/03H,1.82,11.250008677450033
1980-01-15,17F/03H,1.68,10.38462339456926
1980-01-16,17F/03H,1.66,10.26099692558629
1980-01-17,17F/03H,1.69,10.446436629060743
1980-01-18,17F/03H,1.68,10.38462339456926
1980-01-19,17F/03H,1.76,10.87912927050113
1980-01-20,17F/03H,2.31,14.278857167532733
1980-01-21,17F/03H,2.23,13.784351291600863
1980-01-22,17F/03H,2.2,13.598911588126413
1980-01-23,17F/03H,2.3,14.217043933041246
1980-01-24,17F/03H,2.44,15.08242921592202
1980-01-25,17F/03H,2.46,15.206055684904989
1980-01-26,17F/03H,2.37,14.649736574481636
1980-01-27,17F/03H,2.24,13.846164526092348
1980-01-28,17F/03H,2.2,13.598911588126413
1980-01-29,17F/03H,2.01,12.42446013278822
1980-01-30,17F/03H,1.91,11.806327787873384
1980-01-31,17F/03H,2.98,18.420343878462138
1980-02-01,17F/03H,3.61,22.31457765142561
1980-02-02,17F/03H,3.42,21.140126196087422
1980-02-03,17F/03H,3.21,19.842048271766263
1980-02-04,17F/03H,2.97,18.358530643970656
1980-02-05,17F/03H,2.7,16.6895733127006
1980-02-06,17F/03H,2.51,15.515121857362406
1980-02-07,17F/03H,2.3,14.217043933041246
1980-02-08,17F/03H,2.16,13.351658650160479
1980-02-09,17F/03H,2.22,13.72253805710938
1980-02-10,17F/03H,2.23,13.784351291600863
1980-02-11,17F/03H,2.05,12.671713070754155
1980-02-12,17F/03H,1.91,11.806327787873384
1980-02-13,17F/03H,1.81,11.188195442958548
1980-02-14,17F/03H,1.73,10.693689567026679
1980-02-15,17F/03H,2.39,14.773363043464602
1980-02-16,17F/03H,4.35,26.888757003795405
1980-02-17,17F/03H,5.37,33.19370692192674
1980-02-18,17F/03H,5.14,31.77200252862261
1980-02-19,17F/03H,5.06,31.277496652690743
1980-02-20,17F/03H,5.13,31.71018929413113
1980-02-21,17F/03H,4.84,29.917605493878106
1980-02-22,17F/03H,4.77,29.484912852437716
1980-02-23,17F/03H,4.46,27.568702583201727
1980-02-24,17F/03H,4.07,25.157986438033863
1980-02-25,17F/03H,3.75,23.179962934306385
1980-02-26,17F/03H,3.53,21.82007177549374
1980-02-27,17F/03H,3.29,20.336554147698134
1980-02-28,17F/03H,2.98,18.420343878462138
1980-02-29,17F/03H,3.05,18.853036519902524
1980-03-01,17F/03H,2.93,18.11127770600472
1980-03-02,17F/03H,2.79,17.24589242312395
1980-03-03,17F/03H,2.77,17.122265954140982
1980-03-04,17F/03H,2.62,16.195067436768724
1980-03-05,17F/03H,2.51,15.515121857362406
1980-03-06,17F/03H,2.4,14.835176277956085
1980-03-07,17F/03H,2.34,14.464296871007182
1980-03-08,17F/03H,2.45,15.144242450413506
1980-03-09,17F/03H,2.35,14.526110105498667
1980-03-10,17F/03H,2.32,14.340670402024216
1980-03-11,17F/03H,0.22,1.3598911588126412
1980-03-12,17F/03H,2.07,12.795339539737123
1980-03-13,17F/03H,1.93,11.929954256856352
1980-03-14,17F/03H,1.87,11.55907484990745
1980-03-15,17F/03H,1.87,11.55907484990745
1980-03-16,17F/03H,1.69,10.446436629060743
1980-03-17,17F/03H,1.59,9.828304284145908
1980-03-18,17F/03H,1.55,9.581051346179972
1980-03-19,17F/03H,1.33,8.221160187367332
1980-03-20,17F/03H,1.29,7.973907249401396
1980-03-21,17F/03H,1.69,10.446436629060743
1980-03-22,17F/03H,1.96,12.115393960330803
1980-03-23,17F/03H,2.0,12.362646898296738
1980-03-24,17F/03H,1.88,11.620888084398933
1980-03-25,17F/03H,1.78,11.002755739484098
1980-03-26,17F/03H,1.86,11.497261615415967
