Event date,Group,Q,Q/A
1980-01-01,19C/02H,0.3,2.619517645674603
1980-01-02,19C/02H,0.27,2.3575658811071434
1980-01-03,19C/02H,0.25,2.1829313713955028
1980-01-04,19C/02H,0.25,2.1829313713955028
1980-01-05,19C/02H,0.25,2.1829313713955028
1980-01-06,19C/02H,0.25,2.1829313713955028
1980-01-07,19C/02H,0.25,2.1829313713955028
1980-01-08,19C/02H,0.25,2.1829313713955028
1980-01-09,19C/02H,0.25,2.1829313713955028
1980-01-10,19C/02H,0.25,2.1829313713955028
1980-01-11,19C/02H,0.25,2.1829313713955028
1980-01-12,19C/02H,0.25,2.1829313713955028
1980-01-13,19C/02H,0.25,2.1829313713955028
1980-01-14,19C/02H,0.25,2.1829313713955028
1980-01-15,19C/02H,0.32,2.794152155386244
1980-01-16,19C/02H,0.81,7.07269764332143
1980-01-17,19C/02H,0.49,4.278545487935185
1980-01-18,19C/02H,0.32,2.794152155386244
1980-01-19,19C/02H,0.68,5.937573330195768
1980-01-20,19C/02H,0.47,4.103910978223546
1980-01-21,19C/02H,0.42,3.6673247039444443
1980-01-22,19C/02H,0.42,3.6673247039444443
1980-01-23,19C/02H,0.45,3.9292764685119055
1980-01-24,19C/02H,0.42,3.6673247039444443
1980-01-25,19C/02H,0.45,3.9292764685119055
1980-01-26,19C/02H,0.42,3.6673247039444443
1980-01-27,19C/02H,0.38,3.3180556845211644
1980-01-28,19C/02H,0.38,3.3180556845211644
1980-01-29,19C/02H,0.38,3.3180556845211644
1980-01-30,19C/02H,0.38,3.3180556845211644
1980-01-31,19C/02H,1.55,13.534174502652117
1980-02-01,19C/02H,0.77,6.723428623898148
1980-02-02,19C/02H,0.62,5.4136698010608475
1980-02-03,19C/02H,0.61,5.326352546205027
1980-02-04,19C/02H,0.49,4.278545487935185
1980-02-05,19C/02H,0.45,3.9292764685119055
1980-02-06,19C/02H,0.45,3.9292764685119055
1980-02-07,19C/02H,0.45,3.9292764685119055
1980-02-08,19C/02H,0.45,3.9292764685119055
1980-02-09,19C/02H,0.45,3.9292764685119055
1980-02-10,19C/02H,0.78,6.810745878753969
1980-02-11,19C/02H,0.58,5.064400781637566
1980-02-12,19C/02H,0.53,4.627814507358466
1980-02-13,19C/02H,0.53,4.627814507358466
1980-02-14,19C/02H,0.53,4.627814507358466
1980-02-15,19C/02H,1.09,9.517580779284394
1980-02-16,19C/02H,1.27,11.089291366689155
1980-02-17,19C/02H,0.93,8.12050470159127
1980-02-18,19C/02H,0.9,7.858552937023811
1980-02-19,19C/02H,1.05,9.168311759861112
1980-02-20,19C/02H,1.18,10.303436072986772
1980-02-21,19C/02H,0.92,8.033187446735452
1980-02-22,19C/02H,0.93,8.12050470159127
1980-02-23,19C/02H,0.71,6.199525094763228
1980-02-24,19C/02H,0.65,5.675621565628307
1980-02-25,19C/02H,0.67,5.8502560753399475
1980-02-26,19C/02H,0.69,6.024890585051588
1980-02-27,19C/02H,0.69,6.024890585051588
1980-02-28,19C/02H,0.69,6.024890585051588
1980-02-29,19C/02H,1.04,9.080994505005291
1980-03-01,19C/02H,0.83,7.247332153033069
1980-03-02,19C/02H,0.78,6.810745878753969
1980-03-03,19C/02H,0.65,5.675621565628307
1980-03-04,19C/02H,0.61,5.326352546205027
1980-03-05,19C/02H,0.61,5.326352546205027
1980-03-06,19C/02H,0.61,5.326352546205027
