Event date,Group,Q,Q/A
1982-02-17,19N/02H,0.52,4.0476162662950825
1982-02-18,19N/02H,0.43,3.347067297128626
1982-02-19,19N/02H,0.39,3.035712199721312
1982-02-20,19N/02H,0.32,2.4908407792585128
1982-02-21,19N/02H,0.43,3.347067297128626
1982-02-22,19N/02H,0.79,6.149263173794453
1982-02-23,19N/02H,0.39,3.035712199721312
1982-02-24,19N/02H,0.3,2.335163230554855
1982-02-25,19N/02H,0.94,7.3168447890718795
1982-02-26,19N/02H,0.47,3.6584223945359398
1982-02-27,19N/02H,0.3,2.335163230554855
1982-02-28,19N/02H,0.24,1.8681305844438842
1982-03-01,19N/02H,0.19,1.4789367126847417
1982-03-02,19N/02H,0.15,1.1675816152774274
1982-03-03,19N/02H,0.14,1.0897428409255991
1982-03-04,19N/02H,0.13,1.0119040665737706
1982-03-05,19N/02H,0.11,0.8562265178701136
1982-03-06,19N/02H,0.1,0.7783877435182852
1982-03-07,19N/02H,0.1,0.7783877435182852
1982-03-08,19N/02H,0.07,0.5448714204627996
1982-03-09,19N/02H,0.05,0.3891938717591426
1982-03-10,19N/02H,0.05,0.3891938717591426
1982-03-11,19N/02H,0.04,0.3113550974073141
1982-03-12,19N/02H,0.04,0.3113550974073141
1982-03-13,19N/02H,0.04,0.3113550974073141
1982-03-14,19N/02H,0.03,0.23351632305548553
1982-03-15,19N/02H,0.03,0.23351632305548553
1982-03-16,19N/02H,0.03,0.23351632305548553
1982-03-17,19N/02H,0.03,0.23351632305548553
1982-03-18,19N/02H,0.02,0.15567754870365705
1982-03-19,19N/02H,0.02,0.15567754870365705
1982-03-20,19N/02H,0.02,0.15567754870365705
1982-03-21,19N/02H,0.02,0.15567754870365705
1982-03-22,19N/02H,0.02,0.15567754870365705
1982-03-23,19N/02H,0.02,0.15567754870365705
1982-03-24,19N/02H,0.01,0.07783877435182852
1982-03-25,19N/02H,0.01,0.07783877435182852
1982-03-26,19N/02H,0.01,0.07783877435182852
1982-03-27,19N/02H,0.01,0.07783877435182852
1982-03-28,19N/02H,0.01,0.07783877435182852
1982-03-29,19N/02H,0.01,0.07783877435182852
1982-03-30,19N/02H,0.04,0.3113550974073141
1982-03-31,19N/02H,0.31,2.413002004906684
1982-04-01,19N/02H,0.28,2.1794856818511983
1982-04-02,19N/02H,0.12,0.9340652922219421
1982-04-03,19N/02H,0.07,0.5448714204627996
1982-04-04,19N/02H,0.06,0.46703264611097106
1982-04-05,19N/02H,0.05,0.3891938717591426
1982-04-06,19N/02H,0.03,0.23351632305548553
1982-04-07,19N/02H,0.03,0.23351632305548553
1982-04-08,19N/02H,0.02,0.15567754870365705
1982-04-09,19N/02H,0.01,0.07783877435182852
1982-04-10,19N/02H,0.01,0.07783877435182852
1982-04-11,19N/02H,0.01,0.07783877435182852
1982-04-12,19N/02H,0.02,0.15567754870365705
1982-04-13,19N/02H,0.15,1.1675816152774274
1982-04-14,19N/02H,0.9,7.005489691664566
1982-04-15,19N/02H,0.16,1.2454203896292564
1982-04-16,19N/02H,0.05,0.3891938717591426
1982-04-17,19N/02H,0.04,0.3113550974073141
1982-04-18,19N/02H,0.04,0.3113550974073141
1982-04-19,19N/02H,0.05,0.3891938717591426
1982-04-20,19N/02H,0.05,0.3891938717591426
1982-04-21,19N/02H,0.05,0.3891938717591426
1982-04-22,19N/02H,0.03,0.23351632305548553
1982-04-23,19N/02H,0.01,0.07783877435182852
1982-04-24,19N/02H,0.01,0.07783877435182852
1982-04-25,19N/02H,0.01,0.07783877435182852
1982-04-26,19N/02H,0.01,0.07783877435182852
1982-04-27,19N/02H,0.01,0.07783877435182852
1982-04-28,19N/02H,0.01,0.07783877435182852
1982-04-29,19N/02H,0.01,0.07783877435182852
1982-04-30,19N/02H,0.01,0.07783877435182852
1982-05-01,19N/02H,0.01,0.07783877435182852
1982-05-02,19N/02H,0.01,0.07783877435182852
1982-05-03,19N/02H,0.01,0.07783877435182852
1982-05-04,19N/02H,0.01,0.07783877435182852
1982-05-05,19N/02H,0.01,0.07783877435182852
1982-05-06,19N/02H,0.01,0.07783877435182852
1982-05-07,19N/02H,0.01,0.07783877435182852
1982-05-08,19N/02H,0.01,0.07783877435182852
1982-05-09,19N/02H,0.01,0.07783877435182852
1982-05-10,19N/02H,0.01,0.07783877435182852
1982-05-11,19N/02H,0.01,0.07783877435182852
1982-05-12,19N/02H,0.01,0.07783877435182852
1982-05-13,19N/02H,0.01,0.07783877435182852
1982-05-14,19N/02H,0.01,0.07783877435182852
1982-05-15,19N/02H,0.01,0.07783877435182852
1982-05-16,19N/02H,0.01,0.07783877435182852
1982-05-17,19N/02H,0.01,0.07783877435182852
1982-05-18,19N/02H,0.01,0.07783877435182852
1982-05-19,19N/02H,0.01,0.07783877435182852
1982-05-20,19N/02H,0.01,0.07783877435182852
1982-05-21,19N/02H,0.0,0.0
1982-05-22,19N/02H,0.0,0.0
1982-05-23,19N/02H,0.0,0.0
1982-05-24,19N/02H,0.0,0.0
1982-05-25,19N/02H,0.0,0.0
1982-05-26,19N/02H,0.0,0.0
1982-05-27,19N/02H,0.0,0.0
1982-05-28,19N/02H,0.0,0.0
