Event date,Group,Q,Q/A
1983-10-01,25G/04H,0.06,0.3047137042481489
1983-10-02,25G/04H,0.06,0.3047137042481489
1983-10-03,25G/04H,0.06,0.3047137042481489
1983-10-04,25G/04H,0.06,0.3047137042481489
1983-10-05,25G/04H,0.06,0.3047137042481489
1983-10-06,25G/04H,0.06,0.3047137042481489
1983-10-07,25G/04H,0.06,0.3047137042481489
1983-10-08,25G/04H,0.06,0.3047137042481489
1983-10-09,25G/04H,0.06,0.3047137042481489
1983-10-10,25G/04H,0.06,0.3047137042481489
1983-10-11,25G/04H,0.06,0.3047137042481489
1983-10-12,25G/04H,0.06,0.3047137042481489
1983-10-13,25G/04H,0.06,0.3047137042481489
1983-10-14,25G/04H,0.06,0.3047137042481489
1983-10-15,25G/04H,0.06,0.3047137042481489
1983-10-16,25G/04H,0.06,0.3047137042481489
1983-10-17,25G/04H,0.06,0.3047137042481489
1983-10-18,25G/04H,0.06,0.3047137042481489
1983-10-19,25G/04H,0.06,0.3047137042481489
1983-10-20,25G/04H,0.06,0.3047137042481489
1983-10-21,25G/04H,0.06,0.3047137042481489
1983-10-22,25G/04H,0.06,0.3047137042481489
1983-10-23,25G/04H,0.06,0.3047137042481489
1983-10-24,25G/04H,0.06,0.3047137042481489
1983-10-25,25G/04H,0.06,0.3047137042481489
1983-10-26,25G/04H,0.06,0.3047137042481489
1983-10-27,25G/04H,0.06,0.3047137042481489
1983-10-28,25G/04H,0.06,0.3047137042481489
1983-10-29,25G/04H,0.06,0.3047137042481489
1983-10-30,25G/04H,0.06,0.3047137042481489
1983-10-31,25G/04H,0.06,0.3047137042481489
1983-11-01,25G/04H,0.06,0.3047137042481489
1983-11-02,25G/04H,0.06,0.3047137042481489
1983-11-03,25G/04H,0.06,0.3047137042481489
1983-11-04,25G/04H,0.06,0.3047137042481489
1983-11-05,25G/04H,0.06,0.3047137042481489
1983-11-06,25G/04H,0.06,0.3047137042481489
1983-11-07,25G/04H,0.06,0.3047137042481489
1983-11-08,25G/04H,0.06,0.3047137042481489
1983-11-09,25G/04H,0.1,0.5078561737469149
1983-11-10,25G/04H,1.92,9.750838535940765
1983-11-11,25G/04H,2.19,11.122050205057436
1983-11-12,25G/04H,2.82,14.321544099662999
1983-11-13,25G/04H,9.18,46.621196749966785
1983-11-14,25G/04H,11.97,60.790383997505714
1983-11-15,25G/04H,9.81,49.82069064457235
1983-11-17,25G/04H,9.92,50.37933243569396
1983-11-18,25G/04H,5.27,26.76402035646241
1983-11-19,25G/04H,4.55,23.107455905484628
1983-11-20,25G/04H,3.72,18.892249663385236
1983-11-21,25G/04H,4.0,20.314246949876594
1983-11-22,25G/04H,11.73,59.57152918051312
1983-11-23,25G/04H,6.39,32.45200950242786
1983-11-24,25G/04H,3.18,16.149826325151896
1983-11-25,25G/04H,1.86,9.446124831692618
1983-11-26,25G/04H,1.28,6.500559023960511
1983-11-27,25G/04H,0.99,5.027776120094457
1983-11-28,25G/04H,0.8,4.0628493899753195
1983-11-29,25G/04H,0.67,3.40263636410433
1983-11-30,25G/04H,0.58,2.9455658077321063
1983-12-01,25G/04H,0.49,2.488495251359883
1983-12-02,25G/04H,0.43,2.183781547111734
1983-12-03,25G/04H,0.39,1.9806390776129683
1983-12-04,25G/04H,0.36,1.8282822254888935
1983-12-05,25G/04H,0.33,1.6759253733648194
1983-12-06,25G/04H,0.3,1.5235685212407446
1983-12-07,25G/04H,0.28,1.421997286491362
1983-12-08,25G/04H,0.27,1.3712116691166703
1983-12-09,25G/04H,0.27,1.3712116691166703
1983-12-10,25G/04H,0.31,1.5743541386154363
1983-12-11,25G/04H,0.29,1.4727829038660532
1983-12-12,25G/04H,0.28,1.421997286491362
1983-12-13,25G/04H,0.26,1.3204260517419788
1983-12-14,25G/04H,0.3,1.5235685212407446
1983-12-15,25G/04H,3.5,17.77496608114202
1983-12-16,25G/04H,16.04,81.46013026900515
1983-12-17,25G/04H,10.67,54.18825373879582
1983-12-18,25G/04H,10.72,54.44218182566928
1983-12-19,25G/04H,16.37,83.13605564236998
1983-12-20,25G/04H,12.39,62.923379927242756
1983-12-21,25G/04H,15.35,77.95592267015144
1983-12-22,25G/04H,5.25,26.662449121713035
1983-12-23,25G/04H,2.72,13.813687925916087
