Event date,Group,tp,t2m,pet
1980-01-01,15G/02H,1.8744086,12.302167,0.6760746204649162
1980-01-02,15G/02H,0.047849575000000005,10.541282,0.9774306707654472
1980-01-03,15G/02H,0.0012956105,7.571343,1.1414392562030848
1980-01-04,15G/02H,0.0059842834,7.492929,1.0827590903879756
1980-01-05,15G/02H,0.36752383,9.837196,0.9003092462716118
1980-01-06,15G/02H,0.47027606,9.874259,0.7652578835350398
1980-01-07,15G/02H,0.012774175,9.433314,0.8821242051829776
1980-01-08,15G/02H,0.8777283,9.395015,0.8234809855329503
1980-01-09,15G/02H,0.72564325,9.302612,0.877815764477815
1980-01-10,15G/02H,0.0021517270000000004,6.7644296,0.8671898566062337
1980-01-11,15G/02H,0.3082454,6.40983,1.0742431323495871
1980-01-12,15G/02H,0.0029923527,4.9238486,0.7782684079910774
1980-01-13,15G/02H,0.08172651,2.4852684,0.7797964162869897
1980-01-14,15G/02H,0.65042993,4.011339,0.93908425915183
1980-01-15,15G/02H,1.4758649000000001,2.683151,1.0660114569700443
1980-01-16,15G/02H,16.623148,4.5476623,0.4842475886140432
1980-01-17,15G/02H,0.002352026,3.5690281,1.0165368423666428
1980-01-18,15G/02H,0.07804432,4.3795114,0.9386927450216916
1980-01-19,15G/02H,7.6528804,6.921034,1.014430309341282
1980-01-20,15G/02H,4.2584463,6.675755,1.0204853975133965
1980-01-21,15G/02H,3.6963312999999998,9.125326,1.0443543040844203
1980-01-22,15G/02H,11.80357,10.4146385,0.8974325201022947
1980-01-23,15G/02H,6.9079595000000005,10.68018,0.9700598001752004
1980-01-24,15G/02H,8.877114,13.090385,1.0890961528530672
1980-01-25,15G/02H,0.006796071000000001,13.222306,1.3056592646228615
1980-01-26,15G/02H,0.0025689592,12.874055,1.4242251762689735
1980-01-27,15G/02H,0.0008642672,12.24876,1.528284497008321
1980-01-28,15G/02H,0.0,11.212841,1.325076493897822
1980-01-29,15G/02H,0.105994354,11.023429,1.2810809171471882
1980-01-30,15G/02H,2.194236,11.470201,1.031236178312558
1980-01-31,15G/02H,7.376508,11.48407,1.2212573447911763
1980-02-01,15G/02H,0.0071867404,8.460735,1.2934072815167126
1980-02-02,15G/02H,0.0030709016000000002,9.108374,1.4325233908658392
1980-02-03,15G/02H,0.24176476,11.655648,1.290884487346153
1980-02-04,15G/02H,0.009532158,10.305038,1.3990847528533124
1980-02-05,15G/02H,0.009612894,10.470647,1.3427236197778247
1980-02-06,15G/02H,0.40249008,10.669942,1.1519033496565698
1980-02-07,15G/02H,0.07576990000000002,10.521156,1.1320511329906544
1980-02-08,15G/02H,0.15420285,10.928763,1.2290026355395778
1980-02-09,15G/02H,14.34111,10.2687025,1.2207974368209813
1980-02-10,15G/02H,0.0036133034,7.627029,1.472415598883724
1980-02-11,15G/02H,0.0025719397000000003,7.303141,1.654411270445256
1980-02-12,15G/02H,0.00085532653,8.493411,1.5910449767972257
1980-02-13,15G/02H,0.001716613,8.418274,1.8279086530787136
1980-02-14,15G/02H,0.09451607000000001,8.619845,1.6698650002694952
1980-02-15,15G/02H,18.996921999999998,11.9823675,1.0763154895003404
1980-02-16,15G/02H,0.6328087000000001,13.450508,1.7008033825657014
1980-02-17,15G/02H,0.0026556072,11.950297,1.8875167542373883
1980-02-18,15G/02H,6.5189795,10.822877,1.386142011340737
1980-02-19,15G/02H,10.122826,10.024193,1.119837968910021
1980-02-20,15G/02H,0.33334323,8.068273,1.4453457373054472
1980-02-21,15G/02H,5.030705,5.8349195,1.3207593275263505
1980-02-22,15G/02H,3.4985935,9.685878,1.3016980180913529
1980-02-23,15G/02H,0.7094566999999999,11.319302,1.7564429960277714
1980-02-24,15G/02H,0.13235594,10.663625,1.9705801584957376
1980-02-25,15G/02H,0.025861522999999997,9.840665,1.3950068592077949
1980-02-26,15G/02H,0.00044073752,8.3142605,1.701914829075063
1980-02-27,15G/02H,0.8206962999999999,7.4788246,1.5698994764728704
1980-02-28,15G/02H,0.65014325,9.450037,1.6872011696341762
1980-02-29,15G/02H,3.3040266000000003,8.801843,0.9566393816105366
1980-03-01,15G/02H,0.28947598,10.933457,1.823172928627237
1980-03-02,15G/02H,5.78104,10.646821,1.9231837343324236
1980-03-03,15G/02H,0.15285185,9.680329,1.8822727046148269
1980-03-04,15G/02H,3.0403088,9.652801,1.632757568115352
1980-03-05,15G/02H,0.070382645,8.916606,1.6736467408830458
1980-03-06,15G/02H,1.6963218,11.3217745,1.5943579075894632
1980-03-07,15G/02H,1.1028867,10.208911,1.4277457398127065
1980-03-08,15G/02H,0.34088406,8.796604,1.5974440952170603
1980-03-09,15G/02H,0.002577454,9.4783325,2.592847057982876
1980-03-10,15G/02H,0.0012844793000000001,10.227632,2.5574214585285846
1980-03-11,15G/02H,0.0,11.806087,2.7206820927453155
1980-03-12,15G/02H,0.0,11.462644,2.822459486230428
1980-03-13,15G/02H,0.033216180000000005,9.122937,1.427272250609275
1980-03-14,15G/02H,0.14411118,8.871041,1.5274313916449276
1980-03-15,15G/02H,2.156295,11.023454,2.1463293686598472
1980-03-16,15G/02H,0.00042617312,9.540736,2.432799232376063
1980-03-17,15G/02H,0.16292303000000002,11.91021,2.176517299289715
1980-03-18,15G/02H,1.7485577,10.294797,1.8301301347728007
1980-03-19,15G/02H,6.256673,8.303594,1.8685645290560764
1980-03-20,15G/02H,7.479883300000001,8.317426,1.837687109481128
1980-03-21,15G/02H,9.00488,8.318181,1.434419486466176
1980-03-22,15G/02H,4.3042935,7.662267,1.79440268368122
1980-03-23,15G/02H,6.514212400000001,8.5727625,2.233087713877136
1980-03-24,15G/02H,9.113021000000002,9.214658,2.381931946361607
1980-03-25,15G/02H,5.0099277,11.391929,2.2017117596669022
1980-03-26,15G/02H,3.03918,13.182293,1.886339809070764
1980-03-27,15G/02H,12.3315,14.00135,1.931842249427072
1980-03-28,15G/02H,5.052185000000001,14.909195,2.123804401368271
1980-03-29,15G/02H,2.0974712,14.48467,1.612900424942138
1980-03-30,15G/02H,0.13843121,15.87634,2.9043805439452024
1980-03-31,15G/02H,0.0017139074000000001,15.948853,3.6184331184442655
1980-04-01,15G/02H,0.048142326,14.960317,2.893778984700817
1980-04-02,15G/02H,0.0018928099000000002,14.570443,3.096820355923425
1980-04-03,15G/02H,0.6993524999999999,16.991087,4.117662286452565
1980-04-04,15G/02H,0.0,16.15584,3.3345019264130333
1980-04-05,15G/02H,0.0017094746,14.14914,3.761943691823065
1980-04-06,15G/02H,0.00043511385,13.46214,3.1409153309962186
1980-04-07,15G/02H,0.0008642672300000001,12.737752,3.3230480510312472
1980-04-08,15G/02H,0.00044107428,12.859393,3.556208994638636
1980-04-09,15G/02H,0.0008583067,13.362068,3.456199818905247
1980-04-10,15G/02H,0.0017285326999999999,14.313431,3.2231311692991245
1980-04-11,15G/02H,0.10543156000000001,14.491417,3.063375885707886
1980-04-12,15G/02H,3.3417231000000003,13.510123,2.1533773368360363
1980-04-13,15G/02H,30.522857000000002,12.666832,1.4148799812801278
1980-04-14,15G/02H,15.432126,9.67885,1.8262702919784048
1980-04-15,15G/02H,1.8688333000000001,9.287978,2.155526022116139
1980-04-16,15G/02H,0.0013349527000000002,10.958969,3.0776345465229005
1980-04-17,15G/02H,3.4759084,12.432628,3.5331929277931424
1980-04-18,15G/02H,0.16250923,13.9436865,3.579186071517336
1980-04-19,15G/02H,0.0030466669,14.575618,3.881888958460239
1980-04-20,15G/02H,0.005982866,14.5358095,4.030018995129659
1980-04-21,15G/02H,0.0004351138,15.338489,4.193547537123059
1980-04-22,15G/02H,0.0,15.205256,3.6716432721006367
1980-04-23,15G/02H,0.0008642672999999999,14.341812,4.18170409097418
1980-04-24,15G/02H,0.00043511376000000005,14.861173,3.6337104769409687
1980-04-25,15G/02H,0.0,15.11528,3.9960483241360034
1980-04-26,15G/02H,2.7542126,14.9041815,3.752238679053375
1980-04-27,15G/02H,0.48462225000000003,13.468064,3.254313132426415
1980-04-28,15G/02H,0.67682056,12.070722,2.9443003602343096
1980-04-29,15G/02H,2.0405436,11.703359,2.6565146924567227
1980-04-30,15G/02H,0.6690256000000001,12.120118,3.603842370735968
1980-05-01,15G/02H,0.22617873,11.733434,2.43174347620816
1980-05-02,15G/02H,9.729259,11.582889,2.8978444057540047
1980-05-03,15G/02H,4.185606,13.063652,2.950397659396917
1980-05-04,15G/02H,0.4114713,12.416148,2.627535582167301
1980-05-05,15G/02H,21.830717,13.664746,2.434482511679301
1980-05-06,15G/02H,1.1878223,14.143673,2.7261225465919505
1980-05-07,15G/02H,12.234616,14.333154,3.081003412807524
1980-05-08,15G/02H,0.8747282000000001,13.981564,3.1703252216192026
1980-05-09,15G/02H,0.016753248,13.429032,4.060514461174057
1980-05-10,15G/02H,5.0720600000000005,16.144606,4.056838617354112
1980-05-11,15G/02H,34.417395,15.169066,2.823599842434928
1980-05-12,15G/02H,11.537457,11.882485,2.3790008668521483
1980-05-13,15G/02H,0.2853341,11.233106,2.7200307772853445
1980-05-14,15G/02H,0.029757017,12.687041,3.657096644263932
1980-05-15,15G/02H,0.018283007,14.331328,3.7275639852844336
1980-05-16,15G/02H,0.0435316,14.418284,3.5082652101194998
1980-05-17,15G/02H,0.0055874333,14.616752,3.4750182393491835
1980-05-18,15G/02H,0.050032356,14.356055,3.3003183662573026
1980-05-19,15G/02H,2.9618341e-05,16.227777,4.322226441558992
1980-05-20,15G/02H,0.0,16.58999,4.476560066045099
1980-05-21,15G/02H,0.0,15.458888,3.858390696123335
1980-05-22,15G/02H,0.0,14.630296,4.271480451884424
1980-05-23,15G/02H,0.0008523462000000001,16.458525,4.808823590869263
1980-05-24,15G/02H,0.008065162,16.0318,4.498707996717664
1980-05-25,15G/02H,0.047210323000000005,13.606883,3.726232850911445
1980-05-26,15G/02H,0.04807154,13.976575,3.2302967795487847
1980-05-27,15G/02H,1.0135981,13.013721,2.728478431242148
1980-05-28,15G/02H,0.014433747,13.474637,3.5928076572887417
1980-05-29,15G/02H,0.44132867,13.242031,3.1796535252016964
1980-05-30,15G/02H,2.8525933,13.848397,3.2249050455881108
1980-05-31,15G/02H,0.53647894,16.993626,4.003117796508827
1980-06-01,15G/02H,0.007244299,17.737123,5.114581864886033
1980-06-02,15G/02H,0.0025808802000000003,23.024519,6.435940969376561
1980-06-03,15G/02H,0.00085234624,24.619286,6.049932849501562
1980-06-04,15G/02H,0.0,22.108206,5.649254723376823
1980-06-05,15G/02H,0.043795967,18.368015,4.422315464535626
1980-06-06,15G/02H,0.00090243095,16.910292,4.399577323507941
1980-06-07,15G/02H,0.0017140789999999999,17.400888,4.624644927633351
1980-06-08,15G/02H,0.089519165,15.870201,3.9656373762260064
1980-06-09,15G/02H,2.4916545,15.886524,3.043256022924364
1980-06-10,15G/02H,0.72845166,16.259993,3.5530572534475904
1980-06-11,15G/02H,3.5113064,16.239828,3.0537393437980063
1980-06-12,15G/02H,5.1426895,14.9962845,3.391308930457916
1980-06-13,15G/02H,7.4098193000000006,14.640069,3.6436430340308905
1980-06-14,15G/02H,6.1627773,15.040044,3.548204104115722
1980-06-15,15G/02H,0.26404987,15.906295,4.057349232090119
1980-06-16,15G/02H,1.0468713,16.049517,4.093047903866926
1980-06-17,15G/02H,0.017956158,16.369028,4.200749850620356
1980-06-18,15G/02H,0.0009345900400000001,16.817324,4.307555765848938
1980-06-19,15G/02H,0.006959987,18.201454,4.482086014871351
1980-06-20,15G/02H,0.0015187371999999999,18.233374,4.7036066899619655
1980-06-21,15G/02H,0.0011968731,17.32931,4.670739208430382
1980-06-22,15G/02H,0.30816057999999996,17.086786,3.5375517600691797
1980-06-23,15G/02H,0.030297014,15.996445,3.807981444337337
1980-06-24,15G/02H,0.20461713,15.796028,4.352384487575726
1980-06-25,15G/02H,0.5486508,17.060766,3.630216562224871
1980-06-26,15G/02H,0.0031929603000000004,16.941935,4.458647387067428
1980-06-27,15G/02H,0.0012814989000000001,18.81594,5.577662865917103
1980-06-28,15G/02H,0.0004351138,19.366796,5.730998205567035
1980-06-29,15G/02H,0.0005986243,18.399994,4.951464787723057
1980-06-30,15G/02H,0.00044964752000000005,19.524899,5.432233055855472
1980-07-01,15G/02H,0.0008876958,19.168612,5.274806879567407
1980-07-02,15G/02H,0.0022731965,19.24739,5.455483120084451
1980-07-03,15G/02H,0.00085830677,19.601425,5.63619899648647
1980-07-04,15G/02H,0.005779175300000001,18.12012,4.691044344701008
1980-07-05,15G/02H,0.16639310000000002,17.551737,3.835193075071512
1980-07-06,15G/02H,0.14858117999999998,18.219702,4.440529236294071
