Event date,Group,tp,t2m,pet
1982-02-17,19N/02H,0.0015483984,7.3275256,1.7177831550210565
1982-02-18,19N/02H,1.9957354,8.70871,1.6717619170698528
1982-02-19,19N/02H,0.00043511376000000005,8.830781,1.8563765772451823
1982-02-20,19N/02H,0.00043511376000000005,9.078283,1.8149250160677908
1982-02-21,19N/02H,1.684604,10.761398,1.6087495679983492
1982-02-22,19N/02H,0.013014020000000001,9.266703,1.4075499362172277
1982-02-23,19N/02H,0.5580028,7.0136547,1.391972685289341
1982-02-24,19N/02H,0.002226491,6.9236083,1.729877295548968
1982-02-25,19N/02H,2.6923906000000004,9.361398,1.420698561469096
1982-02-26,19N/02H,0.11220337999999999,10.9566,1.8455026042106677
1982-02-27,19N/02H,0.048827145,12.910375,1.5208138000579732
1982-02-28,19N/02H,0.008700717,13.689784,2.052006946551535
1982-03-01,19N/02H,0.10684289,13.385041,1.9338978715691344
1982-03-02,19N/02H,0.0025868402,11.335937,2.484714220074485
1982-03-03,19N/02H,0.0012835996999999999,12.375717,2.818915047970928
1982-03-04,19N/02H,0.0017195934,10.66586,1.747306890351178
1982-03-05,19N/02H,0.001276084,9.301862,1.9959745960643995
1982-03-06,19N/02H,0.0,10.101247,2.4300824840416704
1982-03-07,19N/02H,0.00043511385,10.8573,2.2283495040707777
1982-03-08,19N/02H,0.0,9.599547,2.145644324114944
1982-03-09,19N/02H,0.00042319292,9.463847,2.4107988033407035
1982-03-10,19N/02H,0.0021437898,10.747619,2.554861088743201
1982-03-11,19N/02H,0.001292119,12.649077,2.782020468290228
1982-03-12,19N/02H,0.0,14.564099,2.9393182631498083
1982-03-13,19N/02H,0.0025995896,14.169768,2.8212161621582177
1982-03-14,19N/02H,0.0004382626,13.50924,2.886322918826046
1982-03-15,19N/02H,0.19653862000000002,14.332301,2.3150392771199004
1982-03-16,19N/02H,0.0019898531,13.017742,2.84240045059544
1982-03-17,19N/02H,0.0016413509,12.591351,2.5820721322274327
1982-03-18,19N/02H,0.0010195427,11.830742,2.6622925451834463
1982-03-19,19N/02H,0.0008598432000000001,13.160523,2.8786854241426485
1982-03-20,19N/02H,0.0006262678000000001,13.616441,2.9787598423369124
1982-03-21,19N/02H,0.0032294016,15.851234,3.311963156824786
1982-03-22,19N/02H,0.0021524317,16.994207,3.527805918609077
1982-03-23,19N/02H,0.00043511376000000005,16.019014,2.9399820797344103
1982-03-24,19N/02H,0.0,13.113423,2.6197657660824936
1982-03-25,19N/02H,0.0,11.21716,2.5945171515904635
1982-03-26,19N/02H,0.08110202,10.887153,2.664627576560239
1982-03-27,19N/02H,0.0008505397999999999,11.693963,2.795864940893768
1982-03-28,19N/02H,2.7819211,11.828297,2.503121813900308
1982-03-29,19N/02H,7.184612,10.766292,1.765699240902907
1982-03-30,19N/02H,12.495864,10.921535,2.3221779465347425
1982-03-31,19N/02H,9.883023,10.567082,1.8256452950927275
1982-04-01,19N/02H,2.3067627,10.3263,2.1839685934004254
1982-04-02,19N/02H,0.015042177,10.938506,2.6993257478176
