Group;NSE;KGE;CRPS
02G/01H;0.230414802;0.071676067;36.24983764
03I/03H;0.027505761;-0.235854441;164.200782
03J/01H;0.625041035;0.447160757;12.16348233
03K/01H;0.532478545;0.415944657;7.825835085
03L/01H;0.412798483;0.384248982;8.823990827
04J/02H;0.412136299;0.270875445;29.31984373
04O/02H;0.55551524;0.614780686;2.868972023
05E/01H;0.622857725;0.653722849;8.962939182
05G/01H;0.327504014;0.595859154;13.61823938
05J/01H;0.463571876;0.589383733;19.50393079
05K/01H;0.549908688;0.636759609;13.62429699
07L/02H;0.615899215;0.504499146;2.734805067
08L/01H;0.526960971;0.426297266;8.020812337
08O/01H;0.709880276;0.667128881;2.468364098
09F/01H;0.563187057;0.658222445;12.28109071
09M/01H;0.648845314;0.547907461;2.902022561
09O/02H;0.328897428;0.269899846;6.106739391
10K/06H;0.298568067;0.246248415;10.99584971
10L/02H;0.408623878;0.341145262;8.421299507
10M/03H;0.579409156;0.565270782;11.93849006
11L/01H;0.179262026;-0.043633472;41.04675035
11M/01H;0.57687653;0.475111229;13.69375649
12E/01H;0.544107467;0.669369796;3.698525561
12G/02H;0.56784153;0.523016391;5.685884694
13F/04H;0.6314067;0.527880635;4.411123274
13H/03H;0.709380778;0.852383997;7.504680957
15E/03H;0.620559658;0.602144427;3.13911271
15G/02H;0.521569771;0.396319858;3.891779413
16G/01H;0.663981694;0.748283239;3.448661415
17F/03H;0.554229955;0.389080334;12.22651521
18E/01H;0.604737578;0.438250467;3.891538158
18I/01H;0.478173458;0.45961066;3.245572612
18K/01H;0.428814957;0.560312132;4.476102335
18L/01H;0.430674318;0.496855739;2.876930619
19C/02H;0.449708778;0.276852784;3.169012228
19M/01H;0.392037375;0.420841756;4.695289965
19N/01H;0.283758228;0.298727127;3.728377516
19N/02H;0.471312845;0.582552064;2.682313042
20I/04H;0.079362768;-0.433582162;5.424693186
24H/03H;0.495895768;0.5892742;3.051954109
25G/02H;0.335987601;0.24189821;5.946251277
25G/04H;0.29153681;0.16142405;4.35747349
26F/02H;0.147389308;-0.101972423;4.587346949
26J/01H;0.346559138;0.393336752;2.656799191
27I/01H;0.259623461;0.26273367;3.685512314
28K/02H;0.43334892;0.476698435;4.163185318
28L/02H;0.318045994;0.116781089;5.505157002
29L/01H;0.332159416;0.398693038;7.214040478
29M/01H;-0.249199763;-0.97247904;6.504713033
30L/02H;0.202480888;0.218051977;7.543317811
30L/04H;0.144779409;0.010854662;8.601231791
31H/02H;0.377132668;0.446842333;4.136849262
31K/03H;0.191023556;0.242760197;7.939085076
